PUMP DETECTED! sleeping 10 sec
after pump value = 0
pot removed: updated level to -1
Value = 0, 2013-07-23 16:21:57 +0000
new pot of coffee added! changing time stamp. value = 100
Value = 1408, 2013-07-23 16:21:58 +0000
pot removed: updated level to -1
Value = 0, 2013-07-23 16:21:59 +0000
Value = 0, 2013-07-23 16:22:00 +0000
Value = 0, 2013-07-23 16:22:01 +0000
Value = 0, 2013-07-23 16:22:02 +0000
Value = 0, 2013-07-23 16:22:03 +0000
Value = 0, 2013-07-23 16:22:04 +0000
Value = 0, 2013-07-23 16:22:05 +0000
Value = 0, 2013-07-23 16:22:06 +0000
Value = 0, 2013-07-23 16:22:07 +0000
Value = 0, 2013-07-23 16:22:08 +0000
Value = 0, 2013-07-23 16:22:09 +0000
Value = 0, 2013-07-23 16:22:10 +0000
Value = 0, 2013-07-23 16:22:11 +0000
Value = 0, 2013-07-23 16:22:12 +0000
Value = 0, 2013-07-23 16:22:13 +0000
Value = 0, 2013-07-23 16:22:14 +0000
Value = 0, 2013-07-23 16:22:16 +0000
Value = 0, 2013-07-23 16:22:17 +0000
Value = 0, 2013-07-23 16:22:18 +0000
Value = 0, 2013-07-23 16:22:19 +0000
Value = 0, 2013-07-23 16:22:20 +0000
Value = 0, 2013-07-23 16:22:21 +0000
Value = 0, 2013-07-23 16:22:22 +0000
Value = 0, 2013-07-23 16:22:23 +0000
Value = 0, 2013-07-23 16:22:24 +0000
Value = 0, 2013-07-23 16:22:25 +0000
Value = 0, 2013-07-23 16:22:26 +0000
Value = 0, 2013-07-23 16:22:27 +0000
Value = 0, 2013-07-23 16:22:28 +0000
Value = 0, 2013-07-23 16:22:29 +0000
Value = 1, 2013-07-23 16:22:30 +0000
Value = 0, 2013-07-23 16:22:31 +0000
Value = 0, 2013-07-23 16:22:32 +0000
Value = 0, 2013-07-23 16:22:33 +0000
Value = 0, 2013-07-23 16:22:34 +0000
Value = 0, 2013-07-23 16:22:35 +0000
Value = 0, 2013-07-23 16:22:36 +0000
Value = 0, 2013-07-23 16:22:37 +0000
Value = 0, 2013-07-23 16:22:38 +0000
Value = 0, 2013-07-23 16:22:40 +0000
Value = 1, 2013-07-23 16:22:41 +0000
Value = 0, 2013-07-23 16:22:42 +0000
Value = 0, 2013-07-23 16:22:43 +0000
Value = 0, 2013-07-23 16:22:44 +0000
Value = 0, 2013-07-23 16:22:45 +0000pot removed: updated level to -1
Value = 0, 2013-07-23 16:18:53 +0000
Value = 0, 2013-07-23 16:18:54 +0000
Value = 0, 2013-07-23 16:18:55 +0000
Value = 1, 2013-07-23 16:18:57 +0000
Value = 0, 2013-07-23 16:18:58 +0000
Value = 1, 2013-07-23 16:18:59 +0000
Value = 0, 2013-07-23 16:19:00 +0000
Value = 0, 2013-07-23 16:19:01 +0000
Value = 0, 2013-07-23 16:19:02 +0000
Value = 0, 2013-07-23 16:19:03 +0000
Value = 0, 2013-07-23 16:19:04 +0000
Value = 0, 2013-07-23 16:19:05 +0000
Value = 0, 2013-07-23 16:19:06 +0000
Value = 1, 2013-07-23 16:19:07 +0000
Value = 0, 2013-07-23 16:19:08 +0000
Value = 0, 2013-07-23 16:19:09 +0000
Value = 0, 2013-07-23 16:19:10 +0000
Value = 0, 2013-07-23 16:19:11 +0000
Value = 0, 2013-07-23 16:19:12 +0000
Value = 0, 2013-07-23 16:19:13 +0000
Value = 0, 2013-07-23 16:19:14 +0000
Value = 0, 2013-07-23 16:19:15 +0000
Value = 0, 2013-07-23 16:19:16 +0000
Value = 1, 2013-07-23 16:19:17 +0000
Value = 0, 2013-07-23 16:19:18 +0000
Value = 0, 2013-07-23 16:19:19 +0000
Value = 1, 2013-07-23 16:19:20 +0000
Value = 0, 2013-07-23 16:19:21 +0000
